web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,Brand,Price,Adress,image_link-src
"1732655017-46","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Ventes et locations de véhicules","https://www.dakarvente.com/annonce-12274-ventes-et-locations-de-vhicules.html","Ventes et locations de véhicules Logements de qualité à louerConcessionnaires automobiles à proximité","350.000  FCFA","Rufisque","media/annonces/pics/8834dcd95bb8e252ab1bbb11a0cd3287.jpeg"
"1732655021-47","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voitures","https://www.dakarvente.com/annonce-12327-location-de-voitures.html","Location de voitures","22.500  FCFA","Grand Yoff","media/annonces/pics/e9abc0214190f1882243bcf619d249af.jpeg"
"1732655025-48","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location et vente de voiture","https://www.dakarvente.com/annonce-12439-location-et-vente-de-voiture.html","Location et vente de voiture","1  FCFA","Point E","media/annonces/pics/b40fa52e9a95b4b426399b8e9f4bd278.jpg"
"1732655029-49","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voiture","https://www.dakarvente.com/annonce-12500-location-de-voiture.html","Location de voiture","35.000  FCFA","Nord Foire","media/annonces/pics/c38aa787916e6cf5023248a00faac531.jpeg"
"1732655034-50","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location Mercedes ML350 CDI 4Matic","https://www.dakarvente.com/annonce-12777-location-mercedes-ml350-cdi-4matic.html","Location  Mercedes ML350 CDI 4MaticLogements de qualité à louer","45.000  FCFA","Almadies","media/annonces/pics/6c487fbd19015c29fd7dc9af436e9946.jpg"
"1732655038-51","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location/vente de voiture","https://www.dakarvente.com/annonce-12892-location-vente-de-voiture.html","Location/vente de voiture","1  FCFA","Point E","media/annonces/pics/afc2f5f630d7aa7adb7824ace4603726.jpg"
"1732655042-52","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location/vente de voiture","https://www.dakarvente.com/annonce-12989-location-vente-de-voiture.html","Location/vente de voiture","1  FCFA","Point E","media/annonces/pics/816710e747108aa81c42cffc1b8161ef.jpg"
"1732655047-53","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location Ford Fusion SE Toutes options","https://www.dakarvente.com/annonce-13090-location-ford-fusion-se-toutes-options.html","Location Ford Fusion SE Toutes options","22.500  FCFA","Almadies","media/annonces/pics/8ae384b19b1e037cc594452892e37498.jpg"
"1732655051-54","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location et vente de voiture","https://www.dakarvente.com/annonce-13160-location-et-vente-de-voiture.html","Location et vente de voiture","1  FCFA","Point E","media/annonces/pics/7dac82bf86429a41dce3e23e4d16b317.jpg"
"1732655055-55","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voitures","https://www.dakarvente.com/annonce-13249-location-de-voitures.html","Location de voitures","22.500  FCFA","Liberté 6","media/annonces/pics/5447bed7d0a89649731400f224443f4f.jpeg"
"1732655059-56","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location et vente de voiture","https://www.dakarvente.com/annonce-13250-location-et-vente-de-voiture.html","Location et vente de voiture","1  FCFA","Point E","media/annonces/pics/9adccb424c8f69811c4487dd6631a09c.jpg"
"1732655063-57","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location et vente de voiture","https://www.dakarvente.com/annonce-13776-location-et-vente-de-voiture.html","Location et vente de voitureLogements de qualité à louerConcessionnaires automobiles à proximité","1  FCFA","Point E","media/annonces/pics/6721dc3594bb10bfba8474d4c58a04af.jpg"
"1732655067-58","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location et Vente de voitures","https://www.dakarvente.com/annonce-13825-location-et-vente-de-voitures.html","Location et Vente de voituresLogements de qualité à louerConcessionnaires automobiles à proximité","1  FCFA","Point E","media/annonces/pics/c3f2fd7d2368fc120ffa8419c671338d.jpg"
"1732655072-59","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location peugeot 508 avec chauffeur","https://www.dakarvente.com/annonce-13846-location-peugeot-508-avec-chauffeur.html","Location peugeot 508 avec chauffeur","25  FCFA","Keur Massar","media/annonces/pics/b121b3382f2fe451c70433af9b5bf4e6.jpg"
"1732655076-60","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voiture avec ou sans chauffeur","https://www.dakarvente.com/annonce-14292-location-de-voiture-avec-ou-sans-chauffeur.html","Location de voiture avec ou sans chauffeur","20.000  FCFA","Thiès","media/annonces/pics/796144b9d8cebe872d29e52ae5f8fe7d.jpg"
"1732655080-61","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location voiture Ford Escape 2011","https://www.dakarvente.com/annonce-14556-location-voiture-ford-escape-2011.html","Location voiture Ford Escape 2011","40.000  FCFA","Ouakam","media/annonces/pics/ef0ec254b16b01753ea4422825cf52db.jpeg"
"1732655084-62","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","AUTO-ECOLE","https://www.dakarvente.com/annonce-14729-auto-ecole.html","AUTO-ECOLE","1  FCFA","Point E","media/annonces/pics/b86b2ab5a68c0c8f384ffec283ec4c14.jpeg"
"1732655088-63","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Auto-école","https://www.dakarvente.com/annonce-14783-auto-cole.html","Auto-école","1  FCFA","Point E","media/annonces/pics/7ee6366d1c989cfabb720c081ddc4458.jpeg"
"1732655092-64","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Auto-école","https://www.dakarvente.com/annonce-14835-auto-cole.html","Auto-école","1  FCFA","Point E","media/annonces/pics/fe0d66dcbf20e539b5e92cf90f18acf4.jpeg"
"1732655096-65","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Hyundai Santa Fe 2015 7 Places","https://www.dakarvente.com/annonce-15092-hyundai-santa-fe-2015-7-places.html","Hyundai Santa Fe 2015 7 Places","50.000  FCFA","Plateau","media/annonces/pics/435e8567799ae4679a5bf8669316f727.jpeg"
"1732655100-66","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Kia Sorento à louer","https://www.dakarvente.com/annonce-16693-kia-sorento-louer.html","Kia Sorento à louer","35.000  FCFA","Sicap liberté","media/annonces/pics/5fe2c39df0696bf785bca141064e934e.jpeg"
"1732655105-67","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de véhicule","https://www.dakarvente.com/annonce-16867-location-de-vhicule.html","Location de véhicule","40.000  FCFA","Dakar","media/annonces/pics/bca0d8e1a27852ee316fa7ec2e0a419b.jpg"
"1732655116-68","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture","https://www.dakarvente.com/annonce-18318-location-de-voiture.html","Location de voitureLogements de qualité à louerConcessionnaires automobiles à proximité","15.000  FCFA","Saly","media/annonces/pics/59d2477813b328cea3dbb7180a43673b.jpg"
"1732655120-69","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de véhicule","https://www.dakarvente.com/annonce-19134-location-de-vhicule.html","Location de véhicule","15.000  FCFA","Ouakam","img/nophoto.png"
"1732655124-70","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Peugeot Partenaire","https://www.dakarvente.com/annonce-19144-location-peugeot-partenaire.html","Location Peugeot Partenaire","25.000  FCFA","Almadies","media/annonces/pics/dc77f6009bad26e44286410abce2d895.jpg"
